text,label
Thank you :) This will make the finalisation of deceased estates and vesting of trusts so much easier.,3
Would be helpful if you had the ability to change the dashboard graphs to show YTD as well.,2
"I am really surprised there are not notifications to approvers when an invoice awaits approval. It means someone has to contact me outside the system, then I go into Xero to look for it, then go back out to let the person know I approved it. I expected the feature to exist.",1
This is incredibly important - we have many customers with multiple service locations and some of these customers won't accept Xero invoices due to the fact we can't show the service location address on the invoice unless we update it on the system every single time which is time consuming when Xero is supposed to be making our lives easier!,0
"I have xero integrated with my capsule crm and would like for xero to have the multiple addresses, so it can sync correctly when identifying and updating. At present my CRM allows for multiple addresses for a customer, but xero just creates new contacts so I end up with many of the same name.",2
"I currently have a free trial, I like the look of xero over competition at present, but This is looking ot be a deal breaker.
We often have 30 or more items on the invoice plus lines for labour costs, we want to be able to describe the service carried out (which can be done in the description field) but not show line items of individual spares or materials, we just need a total for the client.
Pointless paying for email invoicing with payment links if we have to use a seperate invoicing software so the invoices can be sent as we need.",0
"Hi Kelly, It has now been a year since this update - where is this solution at now? We are looking at moving from MYOB but this is CRITICAL to our operations and there doesn't seem to be any work around available while we are waiting for the software update. We cannot be sending 2 dozen separate statements to customers who operate the one account with us. Failing the update - IS there a workaround? Can we manually change the delivery address? Bill one contact but select a second to deliver to?",1
"Now 13 years later, this is still not implemented.  Xero must have the resources to fix this.  It is quite normal for invoiced to include a date delivered column.  This should be simple to implement and useful for a a lot of customers.  Please don't succumb to inshitification now that you have captured the market...",1
I see the flashy ads and advertising at sporting events and think if Xero only spent more money on basic product features they would get so many more customers just by 'word of mouth'. Currently I advise any business contacts I have to avoid Xero like the plague. :-(,0
YES! FINALLY!!!! I have been using my own custom made template for this for ages - seems crazy to send a client a statement with 10+ outstanding invoices on it and expect them to open each invoice and click the links separately...! this pay now feature is well overdue. thank you Xero! I am v sad I didn't get to try it out though... hopefully in the next pool??!,4
"A classic important detail: Most of our customers have a contract address which is different to the invoice address. So this is really needed.
",2
This is huge for us. Our dispatch team is celebrating not having to check addresses manually!,4
"Is there any update on this please? I have a client wanting to change software but they won't use Xero unless this key feature is in place. They're looking at other software options, so I just wanted to check whether timescales are known before they look to commit elsewhere? Thanks.",1
If classic invoicing is retired on the 27th without new invoicing being fixed (ie the features we need from old invoice work in new) then i'm leaving and taking my orgs somewhere else (that will be 4 orgs),0
"Any update ????????

",1
"Yes still waiting - but they will spend time changing the sales invoices into a way we don’t want them for no reason, but ignore the points that actually need to be worked on like this!",1
This looks promising. It handles the basic requirement of separate shipping addresses well.,3
"I am so disappointed that Xero missed this function.... All people here in Australia working in the healthcare industry need it. I just signed up with Xero and will spend another couple of days trying to figure this out. If I can't solve it, I am changing to MYOB",1
Whilst I continue to use Xero I do not recommend it to others. In fact I disrecommend it. Customer focus and response is very poor. This particular topic has dragged on for years. The lack of action by Xero show how out of touch their senior management is from customers of their in the field.,0
"Hi Xero Team, 
Not long to go now before the 12 month anniversary of your post made on the 30th April 2024, which advised that you were working on the future returns function for company returns over the next 12 months. Where are we at?",1
"QB has this feature in their payrun, it makes it superfast and easy to process for payday super",2
"How is this feature taking so long to implement?!
It's really very critical for any business which provides physical goods...

If there's some sort of difficulty in implementing this fully, how about Xero adds a field where a one-time use address can be added on a per-invoice basis?

If we can specify different delivery addresses on purchase orders, (as we're expected to need multiple delivery addresses), why is it so hard to have a similar feature on invoices, (as if customers are only allowed to operate from one location)..?

Please Xero, listen to your customers, Just. Get. It. Sorted.",0
"https://chromewebstore.google.com/detail/xero-navigation/nimnmopdaaicppnngkapackhkfpjhgna
Above Chrome extension could help with the Xero navigation, feel free to use and suggestions are welcome.",3
It’s a decent update. The drop-down menu on the new invoicing screen is handy and works as expected.,3
"Lol - it is clear that Xero ignores this chat. 

The feature would be excellent.  Maybe someone should start the chat on LinkedIn; it may garner some attention if we move the conversation there.   Otherwise, the product overall is good. 

It would be nice if they had a product team that engaged users from time to time. I don't think they have account managers to check in with customers.  Sad, if I treated my customers like this, I would not have any!

I'll check back here in another 5 years!",1
Critical need for us too - Date and period should be separate fields/options in the system - it's the only way to enable accurate reporting.,2
"Nah not 3 years. I requested this back 10 years ago minimum. They just keep changing the forums and merging and changing the date so it doesn't look like it's been so long. The old threads on this topic had 100s of replies if not more that were ""lost"".",0
"Very critical for SMEs in Singapore. Please add more email addresses. Currently, the maximum is 10 only for Quote and invoice, as we need to send to our customers and suppliers, who have multiple departments and personnel to address.",2
"This should be a no brainer!!!!

This would save your users a lot of time and frustration. Makes me want to go back to MYOB",0
"Yes! At the moment we can filter by staff member but they're not even in date order.  Filter by date, filter by supplier within each staff member would be common sense.  We have a huge list linked to multiple credit cards and it's so hard to find particular ones.",2
"Kelly, Thats music to my years...can you please add me to the contact list when this features is available.
We are a wholesaler and send fabric to customers who have multiple address for their 1. designers who may be working remotely[ more often , these days] . Their 2. bulk warehouse where the contact holds goods for future processing. 3.Fabric cutters who are a different company 4. Overseas destinations.
We currently have to put these address into Xero as a Item so that the information as already in the system and data entry mistakes aren't made but it is a bit crazy esp when the rudimentary Xero reports will include the Item in reports that then make the report meaningless or just inaccurate for mamangement information.
rt",4
"As my mum used to say : ""You've got 2 hopes - Bob Hope and No Hope!"". lol

I've been waiting for this update in Xero for almost 10 years (my boss won't let me move to a different programme - long story).

Besides, even if Xero eventually do role it out, it will probably be a complete shambles like the New Reports which are not fit for purpose.",0
"Having read Xero's poor stance on support of such a significantly key feature, has resulted in my firm deciding to migrate from Xero to Sage.

Fortunately there is a Cloud Convert feature whereby you migrate from Xero to Sage for free with 2 years' data.

Www.cloudconvert.co.za

Let's see if Xero misses my 291 subscriptions that I am moving to Sage next month.... And then hopefully take it as a lesson learnt to listen to their clients.

Converting back from Sage to Xero again later? I won't have the energy to come back. Been a good 8 years, but Sage's intercompany feature is excellent and my only resort.",0
"Couldn't agree more,  we raised this and commented about it a number of times.   Im now face with the proposition that we must have approvers in the process,  so looks like we may have out grown Xero, finally and will need to move to something more capable as a business tool.

Sorry Xero,  it was good while it lasted,   maybe losing customers to a competitor might finally spur you into listening to your customer base more.",0
"If we can have the option of choosing the delivery address from a drop down list, it will be great. ",2
"As a new user of Xero, I'm surprised that what I thought would be a standard feature of accounting software isn't available; yet the issue has been highlighted by so many people, over many years. Surely something so simple could be added, considering how much the monthly fee increases year-on-year.",1
I think xero isn’t really aimed at larger companies with lots of transactions. I suggest moving to another provider who does this better.,3
