text,label
"Glad we don't have to leave for Quickbooks now, this update should solve the issues we were having.",3
How many more years do you require to have this issue resolved? you may end up loosing clients to competitors over this issue. This issue become more crucial as time goes on.,0
This is a solid improvement. Being able to add a secondary address for delivery without editing the main contact is useful.,3
"I'd like very much to trial early payment discounts with my clients, but despite using some pretty sophisticated accounting software - by the way, that's your product Xero - I can't add this simple thing to an invoice. Wow! 

If this functionality hasn't been implemented in 12 years, there must be a reason.",1
"@Scott Osburne you technically CAN tab through the fields in the payment pop-up, but to change the date, you have to press space or enter when the date field is highlighted, then tab several times to get to the grid of dates (with the mouse cursor NOT over the grid because if it's over the grid then tab exits the grid), use the arrow keys to find the one you want, then press enter or space (if you press tab it goes to the next field instead of changing the date) when you have the right one highlighted, AND THEN YOU HAVE TO SHIFT-TAB BACK FOUR TIMES TO THE ACCOUNT FIELD because the focus has dissipated and both tab and shift-tab move the focus to the Add button instead of the focus moving in a logical order (WCAG success criterion 2.4.3 failure).

If you could enter the date instead of having to tab and arrow etc it would be significantly fewer keypresses, even without the focus order failure.",1
"Good that future company returns can be done, but surely it isnt that hard to build one for trusts and partnerships too?",3
This is helpful. We can finally differentiate between the billing address and the site location on the quote.,3
Xero you are bleeding customers due to increased fees. That you aren’t prioritising upgrades that are standard features for your competitors is shocking. Provide a timetable for beta and full deployment schedule for each idea so that we can actually see it working its way through the apps dev pipeline!!!,1
"I asked for this ""Improvement"" over 10 years ago in this thread (or a previous one). I don't believe anyone at Xero actually takes any notice of this forum. its just here so you can vent and think that something will get done. Xero is far too busy developing  ""New"" features to entice new clients rather than supporting existing clients who they have already ""Captured""",0
"Great to hear that this basic (on the face of it) functionality is being implemented, it needs to be done thanks.",4
Too little too late for me Xero. The last price rise was the last straw for me - 80% increase over 3 years. Encouraged me to look at the opposition and realise that I could get significantly more features for half the price. Look back over this issue - a clear indication of how a significant feature gap receives so little attention from Xero. Meanwhile the big news is that the main menu is going to be fiddled with yet again. Really! Too much resource spent rearranging deck chairs I would suggest. Bye.,0
We gave up waiting we use LodgeIT for future returns now.,1
"Thank you Xero! This worked today!!!! What a relief to have this feature back. Now that item codes are pulled in for billable expenses, the new invoicing actually represents an improvement for my purposes. Thank you for addressing this request.",4
"Seconded that - like the Bank Rec screen that I had to write custom CSS to un-clusterfk (which was so successful that Xero implemented most of it as 'compact mode').

This bloated shiny rounded **** just wastes time and space.

Add this detail to any TrustPilot reviews you leave!",0
Good to see this on the roadmap. It will be helpful for our construction clients who move sites frequently.,3
