text,label
"To allow multiple contacts under the same company. 

Purposes: To save time changing of contact details, since some clients dealt with the same company with different people.",2
"Ability to add delivery address to quote/invoices. 

Purpose: To save time from having to edit a contact to add a street address.",2
We have various customers with multiple addresses for which we can't invoice through Xero.,2
"I use distributors, so have multiple ship-to's that I need on a purchase order.",2
We have customers that have different locations that we would like to bill them for.,2
The ability to set up one customer with multiple delivery addresses is a pretty basic function and one that many other on line providers offer as standard. Please release this functionality ASAP.,1
"As a compnay we supply services to property managers but they need the invoice to go directly to their landlords, to have to create multiple contacts for all the individual properties for the same client would be really complicated and would mean we don't have a proper history for the client as all invoices would be spread across multiple contacts.",2
Ability to change the customer address on unique invoices (so not always the address of the contact),2
"Each account should be able to have a child account under its parent. I have clients with many sites under one umbrella, making it challenging to enter each site as a new customer. ",1
"Ability to access an address book when sending a quote. 

Some clients have multiple managers and the quote doesn't always go to the same person nor to accounts. Currently we have to cut and paste the email address in from another piece of software. which is quite time consuming",1
"Hi Everyone, I also urgently need this feature building in as standard. I love Xero but my client is less than convinced due to this missing  multiple delivery address feature. Hope it gets sorted soon !",3
I'm surprised this important/basic feature has been ignored for so long by Xero.,1
"Hi,
This is not necessarily what I require....Multiple addresses etc.
I need additional fields in contacts, so I can store Nationality, D.O.B., Gender, Food Allergy, Medication. 
This is important for some of my clients when using Xero.
Let me know as and when you develop.
Thanks
",2
"This is essential for my business, please get it sorted ASAP!",2
"Essential, please get it sorted!",2
"To be clear, not just ability to add multiple persons to a contact and send to all, it should allow the user to select the primary person (and email) from the list of persons associated with the contact, and optionally to select other persons from the list to copy in. ",2
"I have clients with different delivery addresses, home, office, depot etc. At the moment, I have to go to the customer detail screen, change the delivery address, create the invoice and go back to the customer screen to enter the main address again. My old system allowed multiple delivery addresses from a dropdown box. This was a sensible solution.",2
"I personally think that Xero needs to add additional fields on the invoice template so you can manually input delivery addresses. 

Some businesses work with multiple customers per day, but on a Cash basis and don't necessarily want to create a contact for each of the customers. So the ability to create a CASH Contact to invoice these clients on, and just add the delivery address and additional billing details if required would be great.

Like Pastel. 
",2
"We also require something along these lines i.e. the ability to assign an individual in an organisation to a department such as, the PO contact, the accounts contact, the sales contact etc. So the system is intelligent enough to know when you are sending a PO, which emails to send it to and so on. 

We have to essentially add the contact details right now, select include in emails and then try to remember who POs go to, who invoices go to and delete the unnecessary email addresses. Pretty tedious.",1
"We sell to big corporates and universities. A big university has departments all over town and sometimes the country, but all with the same tax details. Currently, we must create a different account for each. 
We also synchronise with Capsule CRM, which then means different customers for the same university or even the same person! This gets messy very quickly. Please allow multiple invoice addresses within one account.",1
Some of our customers have one central invoicing address with multiple delivery sites  definitely a problem we have faced when using Xero,1
Some of our customers have one central invoicing address with multiple delivery sites  definitely a problem we have faced when using Xero,1
Also be able to have two (or more) contacts with the same name but different details.  Need the system to assist here,2
"Hi Kelly, 

Can you please respond to the requests of users to have notifications for payments. When a payment is received an alert, ideally email, is sent to the user. 

This seems to be a simply implementation, and users have been asking for many years. 

Please respond. 

Thanks, 
Ryan",1
Being able to create your own field in contacts would be great!  We pay a lot of our vendors by Zelle and would like to keep their email or phone # that is connected to their zelle account which maybe different than their business email or phone #.  Or just have a general Notes section so we can input notes we would like to see when looking at vendor.,3
"Being able to select email addresses when sending a quote or invoice, as these would normally go to different people of the same company.
Maybe having an accounts option in contacts for email address when sending invoices/statements. 
",2
"We also deal with multiple contacts within a single company so we need to be able to send quotes to different people, invoices go again to different contacts and then there are multiple delivery addresses/contacts as well.

For us it is important to be able to manage multiple contacts for different functions within the same company.",2
"Urgently need the ability to have multiple delivery addresses for a customer.  Have asked previously, but that thread (& the 100's of comments) seems to have disappeared!
Xero, please spend time on this rather than other updates which we don't like.",0
"Hi Kelly, Has there been any progress on this topic?  I am currently converting from MYOB to Xero and this matter could potentially stop the change over.
Our Major customers have multiple sites we service as many as 30 different locations for one customer, they require details of each site on invoices for payment approval.
MYOB gives me this flexibility at this stage, this is a critically feature which a lot of businesses need!
",0
"I have a customer that drop ships to all of his customers. I need the ability to charge the primary customer, but print a packing slip with different addresses.",2
Yes I need this function very important.,2
"Sub account is something quickbook has and it works great for multiple retail locations under 1 parent HQ or 1 MNC with multiple departments.

It should be an easy implementation and hope Xero can do this asap!",3
Please please please update so I can add multiple persons & details to a single contact record. I have to invoice an individual contract c/- one management company.,2
basic feature I imagine most businesses would need,2
"I can't believe Xero hasn't thought about this when creating this software. Customers would require different delivery address to manage inventory. 
Also it updates the address to all invoiced/quotes for the particular customer. It's very hard to trust the system and have to keep separate system to ensure orders are shipped to correct address. Not sure why it is taking so long for Xero developers to add a field and make it operational. ",0
"- Please allow for unlimited (or at very least 25) multiple Street Addresses for a single contact record; 
- Also consider adding a Billing Address in addition to the Postal Address as we have many customer and supplier contacts where the address for their Head Office is different to the actual Billing address.",2
"Hugely important, getting to work with big clients with multiple cost centres is tough enough, having to then figure things out in Xero and getting paid needs to be easy.",2
This feature needs to be implemented!,2
"Highly important, in modern trade, where PO/Billing is centrally controlled for multiple delivery locations.",2
"Critical - We have customers with more than one delivery address
",2
"Kelly, Thats music to my years...can you please add me to the contact list when this features is available.
We are a wholesaler and send fabric to customers who have multiple address for their 1. designers who may be working remotely[ more often , these days] . Their 2. bulk warehouse where the contact holds goods for future processing. 3.Fabric cutters who are a different company 4. Overseas destinations.
We currently have to put these address into Xero as a Item so that the information as already in the system and data entry mistakes aren't made but it is a bit crazy esp when the rudimentary Xero reports will include the Item in reports that then make the report meaningless or just inaccurate for mamangement information.
rt",4
"I've requested this several times over the last 6 years. I was told about 5 years ago it was about to be released. never happened. 
In my opinion its one of the biggest issues with Xero",1
"RemindME! 10 Years ""Has this been implemented yet?""",0
"Needs to be done, amazed its not currently possible.",1
"Really  surprised this isn't supported.  As a B2B company, our customers very frequently have different desired Ship To locations...and having that not reflect accurately in the invoice is a big impediment.  The workaround of creating a distinct Contact record for each desired shipping location is also problematic, as some of these addresses will only be used infrequently.   Please please",1
Please add me to the contacts list when this is available as well. All my clients that sell to supermarket chains require this function,2
add me to the list please,2
"could we have a customer address and then an invoice address and delivery address all seperate and all easily seen on one page and easy to edit - what you have is rubbish and does not work for me easily. I find it impossible to enter customer details without 1st checking or modifying contact and then back to invoices and then have to approve it just to see how the address looks and then have to edit approved invoice.
I used quickbooks desktop previously and this was the easist system to use. Maybe take a look at this.

Regards

Peter",2
"Hi Kelly , i have looked back through the threads on this subject and it seams this issue has been raised since 2020 , is it ever going to happen?

BTW todays upgrade has screwed with all our internal workarounds that we have used to get around the lack of Multiple deliver addresses .... we like Xero but if you cant do this simple change in 2 years i think its time for us to bite the bullet and go back to softwear that can....",0
Agree with Benjamin on 16.08.22 - this is such a basic feature. Time to move a batch of clients back to Sage - hugely embarrassing and a complete waste of time.,0
"@Benjamin Patton - this has actually been a feature request for around 7 to 9 years..... they closed their old forum and created this one, so all of the requests that have been around for years now look new. I've been using Xero for over 10 years (boss refuses to let me move to different accounts program because he thinks it would be too much time and energy, so I have learnt to suffer) and this was one of the first features i voted on years ago. It used to have hundreds of votes but this new forum is much more difficult to navigate than the last one so I'm guessing a lot of users can't find this to vote on it again... or they have just lost the will to try after so many years.... ",0
"Thanks to the wayback machine, we can see that the same thread on the old forum was started in 2012. It had 679 votes and 701 replies. Xero added the ability to have one (!) shipping address on a contact in June 2020, declared the feature request 'Done' and said ""I appreciate this isn’t quite the functionality that some here we’re seeking...""

So I wouldn't hold your breath 😐

",0
This is incredibly important - we have many customers with multiple service locations and some of these customers won't accept Xero invoices due to the fact we can't show the service location address on the invoice unless we update it on the system every single time which is time consuming when Xero is supposed to be making our lives easier!,0
